iter	Logloss
0	0.6870463867
1	0.6809542236
2	0.6744675293
3	0.6697722778
4	0.6647364502
5	0.6591959229
6	0.6528494873
7	0.6478126221
8	0.643878479
9	0.6374910889
10	0.6323184814
11	0.6286532593
12	0.6235556641
13	0.618859375
14	0.6139403076
15	0.609574707
16	0.6048953857
17	0.6007045898
18	0.5964272461
19	0.591725769
20	0.5864768066
21	0.5825476074
22	0.5788407593
23	0.5748335571
24	0.5709684448
25	0.5651216431
26	0.5621914062
27	0.558741333
28	0.5546824951
29	0.5504571533
30	0.5479393311
31	0.544909668
32	0.5426105957
33	0.5385793457
34	0.5352590332
35	0.5329787598
36	0.5306552124
37	0.527281189
38	0.5241328125
39	0.5206595459
40	0.5170467529
41	0.5143609009
42	0.511359314
43	0.5093128052
44	0.5064205322
45	0.5029284058
46	0.5000529785
47	0.4971422729
48	0.49452948
49	0.4917056885
50	0.4887572937
51	0.4852362061
52	0.4832309875
53	0.4804151917
54	0.4781191711
55	0.4760077209
56	0.4720240479
57	0.4701150513
58	0.4674727173
59	0.4648359985
60	0.4627806396
61	0.4608366089
62	0.4583776855
63	0.4559491577
64	0.4534261475
65	0.4505702209
66	0.4482167664
67	0.4462565308
68	0.4440651245
69	0.4421855469
70	0.439057312
71	0.4355651855
72	0.4321429443
73	0.4307134705
74	0.428859375
75	0.4262911377
76	0.4250043945
77	0.4223275757
78	0.4196296997
79	0.4183310852
80	0.4167862549
81	0.4144281006
82	0.4118977356
83	0.4095315247
84	0.4075707703
85	0.4060588074
86	0.4041399231
87	0.4030370483
88	0.4005368652
89	0.3980803833
90	0.3962589111
91	0.3946249084
92	0.3929743042
93	0.3911432495
94	0.3897609558
95	0.3885565186
96	0.3864988098
97	0.3852017517
98	0.3824276733
99	0.3810751038
100	0.3787689209
101	0.3777666931
102	0.3762531738
103	0.3753397522
104	0.3736471558
105	0.3714780273
106	0.3701719971
107	0.3679193726
108	0.3662189331
109	0.3647889099
110	0.3640067749
111	0.3623088989
112	0.3606178589
113	0.3599458618
114	0.3577670593
115	0.3563980103
116	0.3549081421
117	0.3531931763
118	0.3521440125
119	0.3505891418
120	0.3490788269
121	0.3476410522
122	0.3461650085
123	0.3444397888
124	0.3431421509
125	0.3420871582
126	0.3407803345
127	0.3393791809
128	0.3379429932
129	0.3360036011
130	0.3339403992
131	0.3329263916
132	0.3314822388
133	0.3309116516
134	0.3301812134
135	0.3285527954
136	0.3270055237
137	0.3255437927
138	0.3238590393
139	0.322887207
140	0.3216823425
141	0.3208589783
142	0.3192246704
143	0.3178737488
144	0.3166791077
145	0.3156583862
146	0.3145619507
147	0.3135429993
148	0.3121397095
149	0.3106540527
150	0.3098371582
151	0.3087478333
152	0.3078041382
153	0.306732666
154	0.3061733398
155	0.3049443359
156	0.303324707
157	0.3025635986
158	0.3012867126
159	0.3002660522
160	0.2990864868
161	0.2979672852
162	0.2970580444
163	0.296196106
164	0.294986084
165	0.2940968323
166	0.2930727539
167	0.2923553162
168	0.2908579102
169	0.2897710266
170	0.2887893372
171	0.2877889099
172	0.2870727539
173	0.2863846741
174	0.2853443909
175	0.2835684814
176	0.282829834
177	0.281675354
178	0.2808510132
179	0.2800630493
180	0.2793000488
181	0.2782293091
182	0.2773512573
183	0.2759931641
184	0.2751909485
185	0.2740778198
186	0.2734420166
187	0.2726513672
188	0.2713901367
189	0.2706346436
190	0.2697962952
191	0.2690916138
192	0.2681934204
193	0.2674793701
194	0.2668309937
195	0.2660641479
196	0.2648547974
197	0.264414978
198	0.263793457
199	0.2622851257
200	0.2616246033
201	0.2606396179
202	0.2598204956
203	0.259160675
204	0.2587316284
205	0.2578873291
206	0.2574111328
207	0.2563889465
208	0.2555330658
209	0.2549051208
210	0.2542094727
211	0.2533325958
212	0.2526057739
213	0.2517228546
214	0.2510196838
215	0.2503300629
216	0.2496706848
217	0.2488637085
218	0.2481784058
219	0.2475260315
220	0.246710968
221	0.24593013
222	0.2454894104
223	0.2450180664
224	0.2445541229
225	0.2435202484
226	0.2427319183
227	0.2415335388
228	0.2409221039
229	0.2400812225
230	0.2394947357
231	0.238612793
232	0.2381590424
233	0.2374728699
234	0.2369928894
235	0.2363672791
236	0.2356842804
237	0.2348193665
238	0.2341268311
239	0.2335472717
240	0.2330957794
241	0.2324923706
242	0.2321025543
243	0.23156987
244	0.2309848633
245	0.2304092712
246	0.2297088165
247	0.229297699
248	0.2287896729
249	0.22836203
250	0.2277628784
251	0.2272019806
252	0.2266556091
253	0.2262914734
254	0.2258138428
255	0.2253647156
256	0.2243259735
257	0.2236338501
258	0.222700592
259	0.2221659851
260	0.2214038086
261	0.2206646881
262	0.2202880859
263	0.2197350006
264	0.2192544861
265	0.2188005066
266	0.2182551727
267	0.2175306396
268	0.216731842
269	0.2162147064
270	0.2156343384
271	0.215133667
272	0.2147146912
273	0.2140299072
274	0.2135678253
275	0.2132287598
276	0.212221405
277	0.211583374
278	0.2111205139
279	0.2106317749
280	0.2102862854
281	0.2098956909
282	0.2093813324
283	0.2089195557
284	0.2085491638
285	0.2081210327
286	0.2077453766
287	0.2072675629
288	0.2067476807
289	0.2062007294
290	0.2056325836
291	0.2049589539
292	0.2041469116
293	0.2036278229
294	0.2028687134
295	0.2018887787
296	0.2014610443
297	0.2011716766
298	0.2007997894
299	0.2003721161
300	0.2000610962
301	0.1995737305
302	0.1989382324
303	0.1986313934
304	0.1980415344
305	0.1973160095
306	0.1969447632
307	0.1966031799
308	0.1961661682
309	0.1957959595
310	0.1954762573
311	0.1948826904
312	0.1944253235
313	0.193778595
314	0.1933501892
315	0.1927050018
316	0.1920263367
317	0.1915512085
318	0.1912025452
319	0.1908982544
320	0.1903958435
321	0.1898895264
322	0.1893614502
323	0.1888455811
324	0.1883925934
325	0.188008728
326	0.1875947266
327	0.1871953125
328	0.1868616638
329	0.1864494781
330	0.1859485474
331	0.1855223083
332	0.1847686005
333	0.1843024292
334	0.183802002
335	0.1833136902
336	0.1828838806
337	0.182553772
338	0.182197525
339	0.1815286255
340	0.1811567535
341	0.180490509
342	0.1801502533
343	0.1796125793
344	0.1793153687
345	0.1788284607
346	0.1784028931
347	0.1777506714
348	0.1774709473
349	0.177227356
350	0.1769006653
351	0.1760383301
352	0.1755265503
353	0.1751340942
354	0.1744463196
355	0.1740283813
356	0.173474472
357	0.173009903
358	0.1726048279
359	0.1721001129
360	0.1715977631
361	0.1713181305
362	0.1707770081
363	0.1703987274
364	0.1700784302
365	0.1696921692
366	0.169103363
367	0.1688047638
368	0.1684023895
369	0.1679924927
370	0.1675730133
371	0.1672479706
372	0.1666145782
373	0.1660662842
374	0.1654234924
375	0.1649854431
376	0.1646201019
377	0.1641949463
378	0.1639211426
379	0.1636311646
380	0.1632888336
381	0.162778656
382	0.1624910583
383	0.1622284546
384	0.1616640015
385	0.161330719
386	0.1608455963
387	0.1604358978
388	0.1600359802
389	0.1595968628
390	0.1591565399
391	0.1588393555
392	0.1585916901
393	0.1582372284
394	0.1580032349
395	0.1574513092
396	0.1570142212
397	0.1565602722
398	0.1562190094
399	0.1558895569
400	0.1552763824
401	0.1549705963
402	0.1544313354
403	0.1541810455
404	0.1538618927
405	0.153635025
406	0.1533552246
407	0.1528976135
408	0.1526411133
409	0.1523278503
410	0.1519446106
411	0.1514084473
412	0.1507780457
413	0.1504774475
414	0.1500824585
415	0.1496713562
416	0.1494116974
417	0.1490493622
418	0.1487978821
419	0.1485472412
420	0.1480443115
421	0.1477236938
422	0.147219223
423	0.1469805908
424	0.1466103363
425	0.1460788422
426	0.1457514954
427	0.1454379883
428	0.1450787964
429	0.1448279877
430	0.1444993744
431	0.1441360474
432	0.1436645355
433	0.1433819122
434	0.1430565643
435	0.1427554932
436	0.1424645996
437	0.1421496582
438	0.1418182068
439	0.1413287506
440	0.1408578186
441	0.1405129242
442	0.140097229
443	0.1398535309
444	0.1396028442
445	0.1391958466
446	0.1388356476
447	0.1384487152
448	0.1380340881
449	0.1377840118
450	0.1373583832
451	0.1368783264
452	0.1366532593
453	0.1364123535
454	0.1361312408
455	0.1358728333
456	0.1357013397
457	0.1353915253
458	0.1350324402
459	0.1346990662
460	0.1343359833
461	0.1341127319
462	0.1338091736
463	0.1335608063
464	0.133160614
465	0.1326764374
466	0.1323137817
467	0.1317600098
468	0.1314629669
469	0.1311139832
470	0.1308986206
471	0.1305233154
472	0.1302713318
473	0.1300080566
474	0.1296384125
475	0.1294913025
476	0.129136322
477	0.128772583
478	0.1284021149
479	0.1281370544
480	0.1277065125
481	0.1275025711
482	0.1272086334
483	0.1268196564
484	0.1265770187
485	0.1263422546
486	0.125960968
487	0.1255952377
488	0.1254370117
489	0.1251798248
490	0.1249007034
491	0.1246495361
492	0.1242838516
493	0.1237534714
494	0.1234193039
495	0.1231204529
496	0.1229123077
497	0.122599762
498	0.1223034134
499	0.1220375824
500	0.1218579788
501	0.1214133377
502	0.1211427155
503	0.120925766
504	0.1206815414
505	0.1204612885
506	0.1202340469
507	0.1199660645
508	0.1196842499
509	0.1193647156
510	0.1191004639
511	0.1186447601
512	0.118233902
513	0.1179329681
514	0.1176069412
515	0.1174423141
516	0.1172037659
517	0.1170068054
518	0.1166864166
519	0.1164270935
520	0.1161858292
521	0.1159296112
522	0.1152767105
523	0.1149613953
524	0.1147772675
525	0.1145611725
526	0.1141954346
527	0.1137858887
528	0.1133487701
529	0.112962738
530	0.1126345978
531	0.1124168091
532	0.112069397
533	0.1118288574
534	0.1115928574
535	0.1114111023
536	0.1111580353
537	0.1110269394
538	0.1106857758
539	0.1103983307
540	0.1102250061
541	0.1099060516
542	0.109624176
543	0.1093187866
544	0.1090427551
545	0.1087916107
546	0.1085289154
547	0.1082037582
548	0.1079371033
549	0.1077596054
550	0.1074168243
551	0.1070584717
552	0.1068057098
553	0.1066741943
554	0.1061653671
555	0.1058488388
556	0.1056066666
557	0.1051581573
558	0.104733345
559	0.1044369507
560	0.1040618286
561	0.1038173828
562	0.1036768875
563	0.1034060974
564	0.1031459961
565	0.1029347839
566	0.1026584244
567	0.1022919922
568	0.1018777313
569	0.1016876526
570	0.1014074097
571	0.1009774323
572	0.1007791748
573	0.1004348145
574	0.1001452484
575	0.09990435028
576	0.09965556335
577	0.09939871979
578	0.09919444275
579	0.09886220551
580	0.09848117828
581	0.09827114868
582	0.09800022888
583	0.09779495239
584	0.09753544617
585	0.0972685318
586	0.09694544983
587	0.09666604614
588	0.09638022614
589	0.0960798645
590	0.09586487579
591	0.09555667114
592	0.09535375977
593	0.09508197784
594	0.09471220398
595	0.09441329193
596	0.09418048096
597	0.09382419586
598	0.09366416168
599	0.09350829315
600	0.09325177002
601	0.09280281067
602	0.09261769104
603	0.09230439758
604	0.09218951416
605	0.09182540894
606	0.09150019836
607	0.09132995605
608	0.09104940033
609	0.09075888062
610	0.09050602722
611	0.09026380157
612	0.09000997925
613	0.08977900696
614	0.0894526062
615	0.08930131531
616	0.08905744171
617	0.08872470093
618	0.08838204956
619	0.08820881653
620	0.08793484497
621	0.08770690155
622	0.08751808167
623	0.08726725769
624	0.08701344299
625	0.08675292969
626	0.08654933929
627	0.08628590393
628	0.08599238586
629	0.085759552
630	0.08548347473
631	0.08520871735
632	0.08500089264
633	0.08466784668
634	0.08443344879
635	0.08423300171
636	0.08398225403
637	0.08371798706
638	0.0834332428
639	0.08325445557
640	0.08302256012
641	0.0827585144
642	0.08257290649
643	0.0823403244
644	0.08205860138
645	0.0818351059
646	0.08166447449
647	0.08141557312
648	0.08118115234
649	0.08094721985
650	0.0806795578
651	0.08045762634
652	0.08018479919
653	0.08001262665
654	0.07979024506
655	0.07948655701
656	0.07919869995
657	0.07892494965
658	0.07869940186
659	0.07850062561
660	0.07819918823
661	0.0778837204
662	0.07768502808
663	0.07755409241
664	0.07730889893
665	0.07705080414
666	0.07680400848
667	0.07659337616
668	0.07642294312
669	0.076268013
670	0.07598963165
671	0.07573894501
672	0.07549660492
673	0.075199646
674	0.07489045715
675	0.07476034546
676	0.07456221008
677	0.07435722351
678	0.07418907166
679	0.07400737762
680	0.07387841034
681	0.07366455078
682	0.0734409256
683	0.07318496704
684	0.07301048279
685	0.07288948822
686	0.07264196777
687	0.07235591125
688	0.07220415497
689	0.07202439117
690	0.07179309082
691	0.07147201538
692	0.07132176971
693	0.07107948303
694	0.07083309937
695	0.07066590881
696	0.07049389648
697	0.07037142944
698	0.07020703125
699	0.07006781006
700	0.06984738159
701	0.06966316986
702	0.06943617249
703	0.06925732422
704	0.06899942017
705	0.06884303284
706	0.06870045471
707	0.06855519867
708	0.06838793182
709	0.06822854614
710	0.06800378418
711	0.06787971497
712	0.06760225677
713	0.06743584442
714	0.06725157928
715	0.0670732193
716	0.06679762268
717	0.06663262939
718	0.06638660431
719	0.06612081146
720	0.06601504517
721	0.06580209351
722	0.06560612488
723	0.06544515228
724	0.0653054657
725	0.06512779999
726	0.06501815796
727	0.06488700867
728	0.06472769928
729	0.06454878235
730	0.06441549683
731	0.06424569702
732	0.06410354614
733	0.06394736481
734	0.06377747345
735	0.06365479279
736	0.0634695282
737	0.06334389496
738	0.06318465424
739	0.06302529907
740	0.06285588837
741	0.06264345551
742	0.06241026688
743	0.06227406311
744	0.06209001541
745	0.0619599762
746	0.06181714249
747	0.06163391113
748	0.0614273262
749	0.06125952911
750	0.06111265564
751	0.0609516449
752	0.06081908035
753	0.06067675781
754	0.06055731583
755	0.06041657257
756	0.06029647827
757	0.06003838348
758	0.05992838287
759	0.05974448013
760	0.05952889633
761	0.05936633301
762	0.05923563385
763	0.05906363678
764	0.05894906235
765	0.0587927475
766	0.05862893295
767	0.05851492691
768	0.05841168213
769	0.05831238556
770	0.05817129135
771	0.05791056061
772	0.05776791382
773	0.0576452179
774	0.05742292404
775	0.05728338623
776	0.05711927795
777	0.05690392685
778	0.05674845505
779	0.05659261703
780	0.0563764267
781	0.05623899078
782	0.05608790588
783	0.05590414429
784	0.05575525665
785	0.05566907501
786	0.05553137207
787	0.05542831039
788	0.05532406998
789	0.05522382355
790	0.05503899384
791	0.05493312836
792	0.05481101227
793	0.05471557617
794	0.05456579208
795	0.05444945526
796	0.05432287216
797	0.05417401886
798	0.05408304214
799	0.05392061996
800	0.05384216309
801	0.05374532318
802	0.05361698914
803	0.05350369263
804	0.05334532928
805	0.05324442291
806	0.053055233
807	0.05291146088
808	0.05280644608
809	0.05266178131
810	0.05250448608
811	0.05236685944
812	0.05221792984
813	0.05211531067
