iter	Passed	Remaining
0	4723	4718284
1	10781	5380177
2	12466	4143192
3	14886	3706845
4	16256	3234983
5	17684	2929814
6	18850	2674097
7	20046	2485769
8	21554	2373379
9	23447	2321281
10	26170	2352935
11	29447	2424535
12	30736	2333645
13	32369	2279763
14	34269	2250345
15	36034	2216103
16	37708	2180431
17	40152	2190540
18	41740	2155134
19	43537	2133356
20	45161	2105369
21	46354	2060674
22	47727	2027371
23	48987	1992177
24	50989	1988585
25	52621	1971296
26	54160	1951767
27	56657	1966821
28	58145	1946884
29	59591	1926779
30	61055	1908473
31	64582	1953612
32	67613	1981283
33	70134	1992632
34	71658	1975726
35	73268	1961971
36	74846	1948042
37	76142	1927607
38	77720	1915108
39	79053	1897292
40	80235	1876732
41	81430	1857401
42	82911	1845259
43	84938	1845480
44	86867	1843516
45	89353	1853118
46	92008	1865626
47	94454	1873339
48	96604	1874916
49	98446	1870477
50	100431	1868818
51	101888	1857499
52	103295	1845670
53	104479	1830326
54	105652	1815298
55	106798	1800322
56	107950	1785923
57	109456	1777723
58	110722	1765922
59	112424	1761312
60	114291	1759346
61	115625	1749309
62	117473	1747181
63	118993	1740276
64	120039	1726724
65	121191	1715046
66	122486	1705675
67	124096	1700857
68	125221	1689586
69	126366	1678865
70	127530	1668675
71	128845	1660673
72	130063	1651633
73	131521	1645793
74	132828	1638215
75	133861	1627476
76	134974	1617936
77	136836	1617479
78	138197	1611134
79	139472	1603929
80	140714	1596503
81	142124	1591098
82	143423	1584572
83	144820	1579230
84	146135	1573106
85	147789	1570691
86	149003	1563682
87	150128	1555875
88	151280	1548497
89	152328	1540209
90	153375	1532065
91	154469	1524551
92	155538	1516920
93	156608	1509443
94	157706	1502361
95	158795	1495319
96	159895	1488512
97	161400	1485546
98	162704	1480777
99	163880	1474922
100	165405	1472276
101	166759	1468137
102	168155	1464419
103	169929	1464006
104	172064	1466644
105	173300	1461612
106	174904	1459719
107	176679	1459240
108	178812	1461665
109	180437	1459900
110	181665	1454960
111	182806	1449395
112	183972	1444102
113	185099	1438576
114	186146	1432518
115	187833	1431422
116	189952	1433569
117	191543	1431704
118	192775	1427189
119	193834	1421451
120	195054	1416968
121	196499	1414150
122	197999	1411750
123	199311	1408038
124	200723	1405067
125	202348	1403592
126	203770	1400721
127	205159	1397647
128	207429	1400548
129	209089	1399290
130	210438	1395960
131	211656	1391801
132	212974	1388337
133	214381	1385479
134	216017	1384110
135	217697	1383021
136	219315	1381527
137	221003	1380470
138	222562	1378608
139	225451	1384918
140	227276	1384613
141	229713	1387987
142	231451	1387090
143	233385	1387346
144	234908	1385151
145	236191	1381558
146	237310	1377045
147	238511	1373053
148	239599	1368448
149	240675	1363830
150	241800	1359530
151	243314	1357439
152	244765	1355009
153	246582	1354602
154	247877	1351332
155	249104	1347719
156	250441	1344728
157	251994	1342908
158	253625	1341505
159	255730	1342587
160	258183	1345439
161	259614	1342946
162	261099	1340740
163	262571	1338472
164	263929	1335641
165	265169	1332234
166	266333	1328480
167	267593	1325225
168	268784	1321654
169	269894	1317719
170	271227	1314899
171	272391	1311278
172	273840	1309052
173	275869	1309585
174	276965	1305692
175	278054	1301799
176	279246	1298418
177	280552	1295584
178	282209	1294381
179	283981	1293694
180	286820	1297825
181	288662	1297396
182	291104	1299632
183	292347	1296495
184	293771	1294183
185	295694	1294061
186	297488	1293359
187	298996	1291410
188	301118	1292099
189	302413	1289236
190	303613	1285987
191	304791	1282664
192	305948	1279276
193	307069	1275763
194	308218	1272387
195	309371	1269054
196	310504	1265660
197	311794	1262924
198	312931	1259588
199	314364	1257459
200	316046	1256324
201	317502	1254291
202	319101	1252826
203	320437	1250332
204	321686	1247516
205	322802	1244198
206	323909	1240870
207	325048	1237684
208	326214	1234620
209	327587	1232352
210	328988	1230198
211	330765	1229448
212	333248	1231297
213	335484	1232198
214	337772	1233262
215	339721	1233064
216	341070	1230682
217	342389	1228205
218	343669	1225598
219	346558	1228708
220	348132	1227127
221	352895	1236724
222	354888	1236541
223	356361	1234537
224	357640	1231871
225	359098	1229833
226	360253	1226768
227	361498	1224020
228	363129	1222589
229	364493	1220262
230	365832	1217857
231	367981	1218145
232	370141	1218449
233	372155	1218252
234	374205	1218158
235	375447	1215432
236	377085	1213992
237	378244	1211019
238	379559	1208555
239	380895	1206167
240	383096	1206516
241	384480	1204282
242	385793	1201834
243	387499	1200612
244	389163	1199259
245	390789	1197785
246	392207	1195677
247	394238	1195433
248	395821	1193823
249	397248	1191744
250	398315	1188598
251	400027	1187381
252	401729	1186132
253	402731	1182824
254	403733	1179534
255	405120	1177380
256	408963	1182333
257	411258	1182766
258	412436	1179981
259	413489	1176854
260	414507	1173644
261	415647	1170792
262	416688	1167678
263	417662	1164392
264	418634	1161117
265	419649	1157980
266	420678	1154897
267	421697	1151800
268	422692	1148654
269	423730	1145641
270	424752	1142599
271	425739	1139479
272	426748	1136433
273	427733	1133336
274	428716	1130251
275	429682	1127138
276	430648	1124039
277	431613	1120953
278	432562	1117840
279	433507	1114732
280	434478	1111708
281	435454	1108710
282	436442	1105756
283	437421	1102795
284	438383	1099804
285	439369	1096888
286	440364	1094007
287	441402	1091245
288	442413	1088429
289	443414	1085600
290	444443	1082853
291	445464	1080099
292	446461	1077297
293	447519	1074655
294	448574	1072017
295	449652	1069444
296	450712	1066836
297	451775	1064250
298	452836	1061666
299	453933	1059178
300	455017	1056668
301	456098	1054162
302	457203	1051719
303	458405	1049507
304	459616	1047322
305	460659	1044764
306	461738	1042296
307	462745	1039673
308	463707	1036963
309	464671	1034268
310	465679	1031681
311	466672	1029072
312	467798	1026765
313	468858	1024321
314	470023	1022115
315	471245	1020037
316	472402	1017825
317	473573	1015651
318	474709	1013407
319	475755	1010980
320	476763	1008480
321	477791	1006033
322	478836	1003629
323	479849	1001167
324	480874	998738
325	481907	996336
326	483165	994404
327	484186	991992
328	485193	989558
329	486187	987107
330	487205	984714
331	488188	982259
332	489159	979787
